M, K, N, benchmarking, precompiling, num_choices
512, 2048, 30522, 0.7771, 0.6416, 19
1024, 50005, 768, 2.0375, 0.5325, 20
8192, 256, 256, 0.5374, 0.8610, 19
4096, 128, 512, 0.5090, 0.4371, 19
768, 1024, 768, 0.5259, 21.8078, 19
1024, 128, 4096, 0.5431, 0.4593, 19
8192, 256, 10000, 0.6873, 0.8865, 19
512, 768, 50272, 0.6091, 9.3610, 19
50265, 4096, 1024, 0.8827, 0.4132, 19
4096, 1024, 1024, 0.5401, 22.3167, 19
256, 4096, 1024, 0.5279, 0.3810, 19
256008, 256, 1024, 0.8114, 0.8928, 19
4096, 1024, 4096, 0.5774, 21.9016, 19
8192, 50272, 512, 0.8895, 0.4044, 19
512, 50265, 1024, 6.1798, 0.5136, 24
30522, 8192, 768, 0.8712, 0.3881, 19
768, 8192, 768, 0.5651, 0.3660, 19
256, 1024, 128112, 0.7622, 22.2704, 19
2048, 2, 768, 0.4580, 0.2200, 16
16, 768, 768, 0.4539, 0.2834, 17
256, 29056, 1024, 0.6971, 0.3725, 19
32768, 256, 128, 0.5158, 0.7867, 19
4096, 1024, 16384, 0.7917, 21.8511, 19
2048, 30522, 512, 0.7800, 0.4635, 19
4096, 3072, 768, 0.5315, 18.1654, 19
32768, 1024, 256, 0.5315, 22.3588, 19
32768, 256, 256, 0.5495, 0.8922, 19
1536, 512, 6144, 0.5147, 2.4177, 19
2048, 30522, 768, 0.8000, 0.5461, 19
16, 2, 768, 0.3220, 0.1484, 12
50005, 2048, 768, 0.7872, 99.6026, 19
1024, 50358, 768, 5.0443, 0.4743, 24
256, 32768, 128, 6.9643, 0.3443, 26
128, 8192, 2048, 0.5649, 0.3577, 19
6144, 512, 1536, 0.5289, 2.4051, 19
8192, 512, 512, 0.5213, 2.4345, 19
32768, 256, 1024, 0.5599, 0.8564, 19
512, 384, 768, 0.5219, 1.7012, 19
2048, 768, 2304, 0.5373, 8.3814, 19
768, 1024, 3072, 0.5343, 22.0651, 19
2048, 128, 128, 0.5197, 0.4465, 19
1024, 50265, 768, 5.8476, 0.4990, 24
512, 50272, 768, 5.5321, 0.4003, 24
